みなとみらい,マリンアンドウォーク/Pie Holic,アメリカンパイ,横浜市中区新港1-3-1, 045-227-6777,,https://marineandwalk.jp/shop-list/pie-holic,,アメリカンカリフォルニアスタイルパイの専門店、オープンテラス有、ペット可、夜景がきれい,全席禁煙,106席,"¥1,000〜¥４,000",平:11:00-16:30/17:00-22:00　　　　　　　　　　　　　  　祝:11:00-16:00/17:00-22:00    　,●,●●ディナー,,,,,,確認済,,,,
みなとみらい,マリンアンドウォーク/ミゲルファニ,スペイン料理,横浜市中区新港1-3-1 MARINE & WALK YOKOHAMA B棟２F ,045-226-4008,,https://www.zato.co.jp/restaurant/migueljuani,,パエリア世界チャンピオンプロデューススペイン料理、海沿い夜景がきれい,全席禁煙,106席,"￥3,000～￥8,000",平:11:00-16:00/17:00-22:00　　　　　　　　　　　　　  　土日祝:11:00-22:00    　,,●●ディナー,●●ディナー,,,,,確認済,,,,
みなとみらい,マリンアンドウォーク/A16,イタリアン,横浜市中区新港1-3-1,045-323-9610,,https://marineandwalk.jp/shop-list/a16,,"ワインとピッツアがおすすめのカリフォルニアイタリアン,オープンテラス有、夜景キレイ",個室あり、全席禁煙,108席,"￥3,000～￥8,000",11:00～22:00,,●●ディナー,●●ディナー,,,,,確認済,,,,
みなとみらい,マリンアンドウォーク/グッドスプーン,チーズレストラン・ビュッフェ,横浜市中区新港1-3-1 MARINE & WALK YOKOHAMA内,045-263-8139,,https://goodspoonyokohama.owst.jp,,"チーズ工房併設、ブッフェスタイル、観光人気,オープンテラス有、夜景キレイ",全席禁煙,150席,"¥4,000〜¥10,000",11:00～22:00,,●●ディナー,●●ディナー,,,,,確認済,,,,
みなとみらい,ウェスティンホテル/パシフィックテーブル,ビュフェバイキング,横浜市西区みなとみらい4-2-8 ウェスティンホテル横浜 3F,045₋577‐0888,,https://www.pacifictable.westinyokohama.com,,ウエスティンホテル3Fビュッフェスタイルレストラン、バリアフリー車椅子対応,個室あり、全席禁煙,143席,"¥6,000〜¥12,000",平:6:30-10:00/11:30-14:00/17:30-20:30　　　　　　　　　　　　　  　土日祝:7:00-10:00/11:30-13:00・13:30-15:002部制/17:30-20:30    　,,●●ディナー,●●ディナー,,,,,確認済,,,,
みなとみらい,ウェスティンホテル/Iron Bay,グリル,横浜市西区みなとみらい4-2-8 ウェスティンホテル横浜 ,045-577-0870, restaurants.yokohama@westin.com,https://ironbay.westinyokohama.com,,ウエスティンホテル3F高級グリル・ステーキ・野菜、魚料理も定評、バリアフリー車椅子対応、高層階夜景がきれい,個室あり、全席禁煙,96席,"￥3,000～￥30,000",12：00-15:00/17:30-22:00,,●●ディナー,●●ディナー,●ディナー,,,,確認済,,,,
みなとみらい,焼肉・韓国料理 KollaBo 横浜,韓国焼肉,横浜市西区みなとみらい3-5-1 MARK IS みなとみらい4F,045-264-9493,,https://shop.kollabo.co.jp/minatomirai,,韓国料理・焼肉/コース料理ありコスパ最高！野菜、魚も豊富。夜景がきれい,個室あり、全席禁煙,70席,"￥2,000～￥6,000",平:11:00-15:30/15:30-22:00　　　　　　　　　　　　　  　土日祝:11:00-16:00/16:00-22:00    　,●,●●ディナー,,,,,,確認済,,,,
みなとみらい,リストランテ ウミリア,イタリアン,横浜市西区みなとみらい４丁目６−２ グランドセントラルタワ 2F, 045-232-4919,,https://umiria.net,,横浜港の絶景と本格イタリアン、接待・記念日向き,個室あり、全席禁煙,34席,"¥8,000〜¥15,000",平:11:30-15:30/18:00-22:00　　　　　　　　　　　　　  　土日祝:11:00-15:30/17:30-22:30    　,,●●ディナー,●●ディナー,●●ディナー,,,,確認済,,,,
みなとみらい,RESTAURANT DANZERO,フランス料理,横浜市西区みなとみらい1-1-1パシフィコ横浜 展示ホール2階 Soto（外）海側, 045-633-3563,,https://danzero.net,,ダンゼロは創作料理、クラシック料理にとらわれず自由な高級フランス料理を提供します。バリアフリー車椅子可,個室あり、全席禁煙,110席,"￥3,000～￥20,000",平:11:30-15:30/17:30-21:30　　　　　　　　　　　　　  　土日祝:11:00-21:30    　     水休,,●,●●ディナー,●●ディナー,,,,確認済,,,,
みなとみらい,美食米門 横浜,海鮮和食居酒屋,横浜市中区新港2-2-1 横浜ワールドポーターズ 5F,050-5890-1616,,https://www.dd-holdings.jp/shops/maimon/yokohama, https://www.instagram.com/bishoku.maimon.yokohama/,みなとみらいの夜景を見ながら美食を楽しむ和食レストラン車椅子対応可,個室あり、全席禁煙,120席,"￥3,000～￥10,000",平:11:00-14:30/17:00-23:00　　　　　　　　　　　　　  　土日祝:11:00-15:30/17:00-23:00    　   ,,●●ディナー,●●ディナー,,,,,確認済,,,,
みなとみらい,焼肉 GRANDELA（グランデラ）,焼肉フレンチイタリアン,横浜市西区みなとみらい5-1-1 横浜グランゲート 1F,045-228-9042,,, https://www.instagram.com/grandela_yokohamagrangate,プロジェクションマッピングと特急レーンの創作焼肉店、車椅子対応可,個室あり、全席禁煙,66席,"￥6,000～￥10,000",平:11:00-14:30/17:00-23:00　　　　　　　　　　　　　  　土日祝:11:00-15:30/17:00-23:00    　   ,,●●ディナー,●●ディナー,,,,,確認済,,,,
みなとみらい,横濱こてがえし,お好み焼、もんじゃ焼き,横浜市西区みなとみらい3-5-1 MARK IS みなとみらい 4F,050-5571-2754,,https://www.towafood-net.co.jp/shop/pasutakan,,オリジナルソースと最高品質の小麦粉を使用したふわふわもっちりなお好み焼きは、味に自信あり！駅近,全席禁煙,52席,"￥2,000～￥6,000",11：00-15:00/17:00-23:00,,●,●●ディナー,,,,,確認済,,,,
みなとみらい,福琳酒家（フクリンシュカ）,中華料理、居酒屋、ラーメン,横浜市西区みなとみらい3-3-1 三菱重工横浜ビル 205,050-5592-6674,, https://fukurin.owst.jp/,,名物『赤・白・黒』3種の特製麻婆豆腐◎8名～利用可能な個室あり、中國語メニュー有,個室あり、全席禁煙,75席,"￥4,000～￥10,000",平:11:00-15:00/17:00-23:00　　　　　　　　　　　　　  　土日祝:11:00-15:00/17:00-22:00    　   ,,●,●●ディナー,,,,,確認済,,,,
みなとみらい,RISTORANTE E’VOLTA -Unico Polo-,イタリアン,横浜市西区みなとみらい３丁目３−３ 20F 三井ガーデンホテル横浜みなとみらいプレミア, 045-306-6731,,https://www.evolta.tokyo/location-yokohama_minatomirai.html,,ミシュラン掲載シェフによる現代イタリアン、記念日・接待に最適,個室あり、全席禁煙,75席,"¥5,000〜¥12,000",7:00-10:30/12:00-15:30/17:30-22:00　 　   ,,●●ディナー,●●ディナー,,,,,確認済,,,,
みなとみらい,ブルーボトルコーヒー みなとみらいカフェ,カフェ,横浜市西区みなとみらい 3-5-1MarkIsみなとみらいGL階,,,https://store.bluebottlecoffee.jp/pages/minatomirai,,ブルーボトルコーヒーではグリーンビーンバイヤー（生豆のバイヤー）が季節ごとに旬のコーヒーを吟味し、最もおいしいとされるコーヒー豆を世界中から買い付けています。,全席禁煙,50席,"￥1,000～￥2,000",8:00～20:00,●,●,,,,,,,,,,
みなとみらい,トラットリア　ヴェント　ランドマーク店,イタリアン　ピザ,横浜市西区みなとみらい2-2-1 ランドマークプラザ 5F,,, http://www.trattoria-vento.com,https://x.com/ventoyokohama?lang=fi,野菜料理、夜景、景色がきれい、,全席禁煙,１１４席,"￥3,000～￥8,000",11:00～１５：００/17:30～23:00,●,●●ディナー,,,,,,,,,,
桜木町,野毛焼肉Taro,焼肉,横浜市中区野毛町１-４８-１,050-5462-9025,,https://nogeyakiniku-taro.foodre.jp/,https://www.instagram.com/nogeyakiniku_taro,世界に誇る黒毛和牛A5ランクの厳選肉をリーズナブルに楽しめる焼肉店。桜木町3分,個室あり、全面禁煙,37席,"¥4,000〜¥15,000",土日祝15:00～23:30平日17:00～火休,,●●ディナー,●●ディナー,,,,,確認済,,,,
桜木町,鉄板焼 にし田,鉄板焼き、ステーキ、海鮮,横浜市中区桜木町3-13-3 5F,050-5592-0488,,https://ghwz200.gorp.jp,https://www.instagram.com/teppanyaki_nishida,"大人の隠れ家のような落ち着いた店内で""五感に響く鉄板焼き""で幸せなひと時を。桜木町駅3分",全面禁煙,13席,"￥15,000～￥20,000",17:00～22:00　月休,,,●ディナー,●ディナー,,,,確認済,,,,
桜木町,大衆すし酒場めのじ,寿司・天ぷら・酒,横浜市中区野毛町3-160-4,045-231-2171,,https://www.dynacjapan.com/brands/menoji/shops/noge,,大繁盛の『釣宿酒場マヅメ』の新業態、寿司と天ぷらがウリの大衆酒場。桜木町駅1分,全面禁煙,35席,"¥3,500〜¥8,000",12:00～２２：００,,●●ディナー,●●ディナー,,,,,確認済,,,,
桜木町,淡麗拉麺 己巳（つちのとみ） 野毛本店,ラーメン,横浜市中区野毛町2-87-1 イニシア横浜桜木町103,045-315-2515,,https://www.tsuchinotomi.com/shop/,,鴨ガラ、鶏ガラ、豚背ガラ、大山鷄の丸鶏、香味野菜を独自の温度調節により旨みが最大限に引き出されています。,全面禁煙,19席,"¥1,500〜¥2,000",11:00～23:00,●,,,,,,,確認済,,,,
桜木町,RAMEN KAIBUTSU,ラーメン,横浜市中区野毛町１丁目30−２ TKビル 1階,,,https://ramendb.supleks.jp/s/164305.html/,,特製オマール海老ラーメン,全面禁煙,7席,"¥1,500〜¥2,000",11:00〜15:00/18:00〜L.O.21:30水休,●,,,,,,,確認済,,,,
桜木町,牛カツ京都勝牛 CIAL桜木町,和食・牛カツ,横浜市中区桜木町1-1 CIAL桜木町,045-228-9732,,https://gyukatsu-kyotokatsugyu.com/,,京都発祥の牛カツ、揚げたてサクサク。これっとマーレ４F　　　　　　　　　　　　　　　　　　　　　　　　 桜木町駅2分,全面禁煙,40席,"¥1,200〜¥2,500",11:00～22:00,●,●●ディナー,,,,,,確認済,,,,
桜木町,せんざん 横浜横浜東口店,海鮮・和食,横浜市西区高島1-1-2　横浜東口三井ビル店,045-681-1200,,https://www.senzan.co.jp/,,魚料理中心、落ち着いた雰囲気と個室対応。お子様家族、車椅子対応可,個室あり、全面禁煙,80席,"¥2,000〜¥12,000",11:30～20:30,●,●●ディナー,●●ディナー,,,,,確認済,,,,
桜木町,GARDEN HOUSE MINATOMIRAI,カリフォルニアイタリアン,神奈川県横浜市中区桜木町1-1-7 コレットマーレ 6F,050-3196-8835,,https://ghghgh.jp/blogs/shoplist,,ノーザンカリフォルニアスタイルの料理と共に旬の食材を用いたパフェやカクテルなどをお楽しみいただけます。コレットマーレ桜木町2分,全面禁煙,128席,"¥2,000〜¥10,000",11:00～15:00/17:00～22:00,●,●●ディナー,●●ディナー,,,,,確認済,,,,
桜木町,蘭の拾璞,中華料理,横浜市中区桜木町1-1-7 コレットマーレ6F,050-5493-2817,,https://colettemare-yokohama.com/shop/256175/,,リーズなぶるなコスパ良し中華料理。コレットマーレ６F　桜木町駅2分,全面禁煙,60席,"¥1,200〜¥2,500",11:00～22:00,●,●●ディナー,,,,,,確認済,,,,
桜木町,KITCHEN JO’S CIAL桜木町店,洋食レストラン,横浜市中区桜木町1-1 CIAL1F,050-5494-2121,,https://americanhouse.co.jp/shop/kitchen-jos-cial-sakuragicho,,リーズなぶるなコスパ良し洋食レストラン。CIAL桜木町駅1分,全面禁煙,30席,"¥1,200〜¥2,500",11:00～23:00,●,●●ディナー,,,,,,確認済,,,,
桜木町,イリエスケープ,フレンチ,横浜市中区桜木町1-1-7 コレットマーレ 7F,045-2111－5515,,https://www.iliescapeyokohama.com,,圧巻のロケーションと旬が彩る現代フレンチで感動の記念日を。　　　　　　　　　　　　コレットマーレ７F桜木町駅2分夜景がきれい。,個室あり、全面禁煙,36席,"￥6,000～￥15,000",11:30～14:00/17:30～20:00火水不定期休,,●●ディナー,●●ディナー,●ディナー,,,,確認済,,,,
桜木町,フレンチ ビストロ lemidi 桜木町 （ルミディ）,フレンチ,横浜市中区花咲町3-87,050-5589-8921,, https://lemidi-yokohama.com, https://www.instagram.com/lemidi_planet/,本場フランスミシュラン星付レストランのメインを務めたシェフによるフランス料理。オープンテラス有。車椅子可,個室あり、全面禁煙,26席,"￥4,000～￥18,000",12:00～14:00/17:00～22:00,,●,●●ディナー,●●ディナー,,,,確認済,,,,
桜木町,海鮮肉炉端 大夢,海鮮、居酒屋、そば,横浜市中区桜木町1-1-7 コレットマーレ 7F,050-5600-1271,,https://colettemare-yokohama.com/shop/251119/, https://www.instagram.com/robata_time/,焼き場の炉を囲むカウンター席では目の前で炉端焼きを楽しみながら熱々の料理。車椅子可。コレットマーク７F桜木町2分,全面禁煙,26席,"¥2 ,000〜¥3,000",11:00～23:00,●,●●ディナー,,,,,,確認済,,,,
桜木町,鉄板焼　ぼんの（テッパンヤキボンノ）,鉄板焼き、お好み焼き,横浜市中区花咲町3-87,050-5868-6764,,https://bon-no.com,,野菜、肉、魚は徳島産のものを中心に揃えております。桜木町1分,個室あり、全面禁煙,52席,"¥3,000〜¥6,000",11:30～14:00/17:00～23:00火休,●,●●ディナー,,,,,,確認済,,,,
桜木町,札幌弥助 桜木町店,居酒屋、海鮮、鍋,横浜市中区桜木町1-101-1 クロスゲート ワシントンホテル 4F,045-640-3255,,https://hanare-sakuragicho.gorp.jp,,北海道より取り寄せた本場の食材を使用した北海道料理が楽しめる居酒屋。ワシントンホテル４F桜木町2分,個室あり、全面禁煙,130席,"¥3,000〜¥8,000",16:00～23:00,,●●ディナー,●●ディナー,,,,,確認済,,,,
桜木町,レストラン 下町 DINING ＆ CAFE THE sea,洋食レストラン,横浜市中区桜木町1-1-7ニューオータニインプレミアム横浜,045-210-0781,,https://colettemare-yokohama.com/shop/1080/,,モーニング/ランチビュッフェ/ランチ/アフタヌーン/ディナーホテルレストラン夜景がきれい。バリアフリー,全面禁煙,128席,"¥3,000〜¥12,000",7:00～21：00,●,●●ディナー,●●ディナー,,,,,確認済,,,,
桜木町,OCTAGON（オクタゴン）,ビアホール、ダイニングバー、居酒屋,横浜市中区野毛町1-4-1 野毛キアラガーデン 8F,050-5600-3921,,https://octagon-yokohama.owst.jp, https://www.instagram.com/octagon_yokohama,屋上テラスでビアガーデン！アメリカンBBQ＆クラフトビールの絶品コンビ。オープンテラスあり,個室あり、全面禁煙,60席,"¥2,000〜¥5,000",17:00～25：00,●,●●ディナー,,,,,,確認済,,,,
桜木町,トラットリアバジル（TRATTORIA BASIL）,イタリアン,横浜市中区花咲町1-40 ３F,050-5590-1534,,https://gezf400.gorp.jp,https://www.instagram.com/trattoriabasil_0616,新鮮野菜ジューシーなグリル料理をワインと共に◆急な団体様のご予約OK。桜木町3分,分煙,68席,"¥3,000〜¥6,000",14：00～23：30,●,●●ディナー,,,,,,確認済,,,,
桜木町,魚乃福,海鮮、居酒屋,横浜市中区野毛町1-37-1 第4竹内恵比寿ビル 2F,050-5589-2488,,https://www.uonofuku.com, https://www.instagram.com/uonofuku/,豊洲市場で仕入れる旬の鮮魚と海鮮創作料理。桜木町2分,個室あり、全面禁煙,20席,"¥5,000〜¥10,000",16:00～２２：００,,●ディナー,●ディナー,,,,,確認済,,,,
桜木町,RIGELリゲル,バー,横浜市中区野毛町２-１０１ ネオキャッスル野毛２０１,045-325-7701,,https://rigel-sakuragicho.foodre.jp/,https://www.instagram.com/rigel_yokohama,バックバーには多数のお酒が並び、スタンダードなものから当店おすすめ季節のフルーツを使ったカクテルまで幅広くお楽しみ頂けます,分煙,21席,"～￥5,000",18:00～23:00,●ナイト,●ナイト,,,,,,確認済,,,,
桜木町,AMPM,居酒屋、アジア・エスニック、中華料理,横浜市中区花咲町1-40 叶家ビル 1F,050-5868-6781,,https://ampm-sakuragichou.owst.jp, https://www.instagram.com/am_______pm/,12種スパイス香るよだれ鶏やラム餃子、毛沢東ポテサラなどの本格皿に加え、約500円で楽しめる小皿メニューも充実。桜木町3分,分煙,60席,"¥2,000〜¥5,000",18:00～23:00,●ディナー,●ディナー,,,,,,確認済,,,,
桜木町,アンデルセンシェル桜木町店,ベーカリーカフェ,横浜市中区桜木町１丁目１シェル桜木町,045-228-9412（カフェ）,,https://www.andersen.co.jp/,,ベーカリーチェーンのモーニングサービス。桜木町駅1分,全面禁煙,12席,"～￥2,000",8:00～21：00,●,●,,,,,,確認済,,,,
横浜駅前,崎陽軒本店ショップ＆中華レストラン嘉宮,中華・土産・軽食,横浜市西区高島2-13-12,045-441-8811,,https://kiyoken-restauant.com/,,横浜名物シウマイや弁当・レストラン嘉宮・カフェも併設。バリアフリー車椅子対応可,全面禁煙,110席,"¥1000〜¥20,000",11:30～15:00/17:00～21:00,●,●●ディナー,●●ディナー,●ディナー,,,,確認済,,,,
横浜駅前,カンブーザ,イタリアン（ミシュラン）,横浜市神奈川区鶴屋町2-11-2,045-512-8882,,https://cambusa-2011.com,https://www.instagram.com/cambusa_/,地産地消イタリアン、ミシュランガイド掲載。　　　　　　　　　　　　野菜・魚料理に定評,全面禁煙,34席,"¥5,000〜¥15,000",11:30～14:30/18:00～22:00,●,●●ディナー,●●ディナー,●ディナー,,,,確認済,,,,
横浜駅,カフェ＆レストラン シェ・フルール横濱,和フレンチレストラン,横浜市西区北幸 2-12-26 Felice横浜 1Fs3,045-342-6292,,https://www.chaifleurs.net,,横浜駅から徒歩10分の創作和フレンチのお店。　　　　　　　　　　　　　　オープンテラスあり,全面禁煙,24席,"¥5,000〜¥20,000",11:30～15:00/18:00～22:00,●,●●ディナー,●●ディナー,●ディナー,,,,確認済,,,,
横浜駅,更科一休,日本そば・うどん,神奈川県横浜市西区北幸2-10-42 寺内ビル1Ｆ,045-,,http://yokohama-norenkai.jp/sarashina/data01.html,,横浜のれん会（老舗の伝統に味を守れる会）そば・うどん,禁煙可,36席,"¥1,000〜¥1,500",11:00～22：00,●,,,,,,,,,,,
エリア,名称,カテゴリ,住所,電話番号,メールアドレス,ホームページ,SNS,特徴,その他,駅から徒歩,価格帯（目安）,営業時間,"～2,000円","～6,000円","～12,000円","～20,000円","～30,000円","30,000円～","50,000円～",アプローチ日,,,,
元町・中華街,ホテルニューグランド,クラシックホテル,横浜市中区山下町10,045-681-1841,,https://www.hotel-newgrand.co.jp/,,横浜の歴史的ホテル、山下公園前・クラシック建築,4つ星ホテル230客室/ホテル内店舗多数,元町中華街5分,"¥25,000〜¥100,000",,,,,●,●,●,●,8月17日,,,,
元町・中華街,ハイアットリージェンシー横浜,高級ホテル,横浜市中区山下町280-2,045-222-0121,面談,https://www.hyatt.com/hyatt-regency/ja-JP/hndry-hyatt-regency-yokohama,,インターナショナルブランド、観光とビジネス両対応,4つ星ホテル315客室/飲食店店舗あり,日本大通り3分,"¥20,000〜¥８0,000",,,,,●,●,●,●,確認済,,,,
元町・中華街,シタディーン ハーバーフロント横浜,サービスアパートメント,横浜市中区日本大通5-2,045-680-3322,面談,https://www.discoverasr.com/ja/citadines/japan/citadines-harbour-front-yokohama,,中長期滞在にも対応。モダンで国際的,4つ星ホテル242室/珈琲館連携店舗,日本大通り1分,"¥12,000〜¥25,000",,,,,●,●,●,,確認済,,,,
元町・中華街,ローズホテル横浜,観光ホテル,横浜市中区山下町77,045-681-3311,,https://www.rosehotelyokohama.com/,,中華街中心に位置。ファミリー・インバウンドに人気,4つ星ホテル184室/飲食店店舗あり,元町中華街8分,"¥10,000〜¥20,000",,,,,●,●,●,,8月19日,,,,
元町・中華街,ホテルリブマックス 横浜元町駅前,ビジネスホテル,横浜市中区山下町187,045-228-5600,,https://www.hotel-livemax.com/kanagawa/yokohama-motomachi/,,駅近でコストパフォーマンス良好,3つ星ホテル154室/コインランドリー有,元町中華街6分,"¥6,000〜¥12,000",,,●,●,,,,,8月19日,,,,
元町・中華街,ホテルフィール,カジュアルホテル,横浜市中区山下町168-1,045-663-1681,面談,https://hotel-feel.jp/,,地元客も利用する手頃価格のシティホテル,4つ星ホテル18室/ジャグジー足湯あり,元町中華街5分,"¥7,000〜¥13,000",,,●,●,,,,,確認済,,,,
元町・中華街,ザ・ゲートホテル横浜 by HULIC,中級ホテル,横浜市中区山下町11-3 ,045-264-6040,,https://www.gate-hotel.jp/yokohama,,山下公園前の横浜港を望む眺望◎2025年6月オープン,4つ星ホテル115室/飲食店あり,元町中華街5分,"¥15,000〜¥50,000",,,,,,●,●,,確認済,,,,
石川町,エグゼクティブ ホテル グランドガーデン,ラブホテル,横浜市中区寿町１丁目１−６,045-222-0444,,https://exe-hotel.jp,,ラブホテル石川町1分,2つ星ホテル31室/ラブホテル,石川町1分,"￥6,000～￥8,000",,,●,●,,,,,,,,,
日本大通り,ダイワロイネットホテル 横浜公園,ビジネスホテル,横浜市中区山下町204-1,045-664-3745,,https://www.daiwaroynet.jp/yokohama-koen/,,関内駅・日本大通り駅近、設備新しく清潔,3つ星ホテル267室/軽食朝食あり,関内10分,"¥8,000〜¥14,000",,,●,●,●,,,,確認済,,,,
日本大通り,東横INN 横浜スタジアム前Ⅰ,ビジネスホテル,横浜市中区山下町205-1,045-662-1045,,https://www.toyoko-inn.com,,全国チェーンの低価格ホテル。朝食無料,3つ星ホテル163室/朝食あり,関内10分,"¥7,000〜¥10,000",,,,●,●,,,,確認済,,,,
日本大通り,ホテルJALシティ関内 横浜,中級ホテル,横浜市中区山下町72,045-661-2580,,https://www.kannai-yokohama.jalcity.co.jp,,日本航空系。観光・ビジネス対応,3つ星ホテル170 室/朝食あり,日本大通り5分,"¥10,000〜¥16,000",,,,●,●,,,,確認済,,,,
日本大通り,スーパーホテル横浜・関内,エコノミーホテル,横浜市中区山下町195-1,045-664-9000,,https://www.superhotel.co.jp/s_hotels/kannai/,,環境配慮型、無料朝食付き、観光にも便利,3つ星ホテル234室/朝食あり,関内10分,"¥7,000〜¥10,000",,,,●,●,,,,確認済,,,,
日本大通り,ホテルリブマックス横浜スタジアム前,ビジネスホテル,横浜市中区山下町219-3,045-226-3210,,https://www.hotel-livemax.com/kanagawa/yokohama_stadium/,,スタジアム隣接、コンパクトで便利,3つ星ホテル100室/朝食あり,関内10分,"¥8,000〜¥12,000",,,,●,●,,,,確認済,,,,
馬車道,マンダリンホテル　横浜,ビジネスホテル,横浜市中区野毛4-170,045-243-3131,,https://yokohamamandarin.com/,,京急日之出町徒歩5分,3つ星ホテル123室/レストランあり,桜木町10分日の出町5分,"¥12,000〜¥20,000",,,,●,●,,,,確認済,,,,
馬車道,ホテルルートイン 横浜馬車道,中級ホテル,横浜市中区弁天通4-53-1,050-1726-2472,,https://www.route-inn.co.jp/hotel_list/kanagawa/index_hotel_id_530,,駅徒歩1分、大浴場あり、安定の設備,3つ星ホテル94室/大浴場あり朝食あり,馬車道1分,"¥7,000〜¥14,000",,,,●,●,,,,確認済,,,,
馬車道,PROSTYLE旅館 横浜馬車道,ビジネスホテル,横浜市中区常盤町5-64,045-232-2222,,https://www.prostyleryokan.com/yokohamabashamichi,,和風デザイン、サウナ・大浴場付き、外国人観光客に人気,3つ星ホテル92室/大浴場あり朝食あり,関内3分,"¥20,000〜¥30,000",,,,,●,●,●,,確認済,,,,
馬車道,アパホテル＆リゾート横浜ベイタワー,ビジネスホテル,横浜市中区海岸通5丁目25番3,0570-055-111,,https://www.apahotel.com/resort/yokohama,,横浜1の高層ホテル/フィットネスジム、高層レストラン、大浴場あり,3つ星ホテル2331室/大浴場あり朝食あり,馬車道5分,"¥10,000〜¥15,000",,,●,●,,,,,確認済,,,,
馬車道,リッチモンドホテル 横浜馬車道,ビジネスホテル,横浜市中区住吉町5-59,045-228-6655,,https://richmondhotel.jp/yokohama/?utm_source=GGL&utm_medium=GBP&utm_campaign=Canly/,,英語対応・清潔感・高レビュー,3つ星ホテル198室/朝食レストランあり,馬車道5分,"¥10,000〜¥15,000",,,,●,●,,,,確認済,,,,
馬車道,Oakwood Suites Yokohama,サービスアパートメント,横浜市中区北仲通5-57-2,045-211-6111,面談,https://www.oakwood.com/ja-jp/japan/yokohama/suites-yokohama,,高層階・長期滞在・外国人ビジネス客に人気短期予約困難,サービスアパートメントホテル,馬車道3分,"¥15,000〜¥30,000",,,,,,,,●,確認済,,,,
馬車道,横浜東急REIホテル,シティホテル,横浜市中区本町6-78-1,045-663-0109,,https://www.tokyuhotels.co.jp/yokohama-r/,,観光地アクセス良好・設備充実,3つ星ホテル234室/朝食レストランあり,新高島3分,"¥10,000〜¥15,000",,,,●,●,,,,確認済,,,,
馬車道,ホテルマイステイズ横浜関内,ビジネスホテル,横浜市中区羽衣町2-60-6,045-250-6111,,https://iconia.co.jp/hotel-mystays-yokohama-kannai-kanagawa,,長期滞在・コスパ良好・駅近,3つ星ホテル165室/朝食レストランあり,関内5分,"¥8,000〜¥13,000",,,,●,●,,,,確認済,,,,
桜木町,ニューオータニイン横浜プレミアム,高級ホテル,横浜市中区桜木町1-1-7 コレットマーレ,045-210-0707,,https://www.newotani.co.jp/innyokohama/,,みなとみらいビュー、駅直結、高級ホテル,4つ星ホテル184室/飲食店店舗あり,桜木町駅1分,"¥23,000〜¥３5,000",,,,,●,●,●,●,確認済,,,,
桜木町,JR東日本ホテルメッツ 横浜桜木町,中級ホテル,横浜市中区桜木町1-1-93,045-228-3111,,https://www.hotelmets.jp/sakuragicho,,桜木町駅から徒歩1分、新しい設備,3つ星ホテル274室/朝食レストランあり,桜木町２分,"¥9,000〜¥15,000",,,,●,●,,,,確認済,,,,
桜木町,東横INN 横浜桜木町,ビジネスホテル,横浜市中区花咲町1-5-1,045-231-1045,,https://www.toyoko-inn.com/search/detail/00050,,駅近・無料朝食あり・全国チェーン,3つ星ホテル216室/朝食つき,桜木町10分,"¥7000〜¥1２,000",,,,●,●,,,,確認済,,,,
桜木町,絹の湯ホテルテラス横浜桜木町,ブティックホテル,横浜市中区花咲町3-95,050-1807-3370,,https://breezbay-group.com/terrace,,スタイリッシュ、リーズナブルな価格,3つ星ホテル81室/大浴場あり朝食つき,桜木町5分,"¥7,000〜¥1２,000",,,,●,●,,,,確認済,,,,
桜木町,ホテルリブマックスBUGET横浜関内,ビジネスホテル,横浜市中区伊勢佐木町4-117,045-250-1510,,https://www.hotel-livemax.com/kanagawa/kannai,,リーズナブルで立地良好,3つ星ホテル87室/朝食会場あり,馬車道10分,"¥16,000〜¥20,000",,,,,●,●,,,確認済,,,,
桜木町,ウェスティンホテル横浜,高級ホテル,横浜市西区みなとみらい4-2-8,045-577-0888,,https://www.marriott.co.jp/hotels/travel/tyowy-the-westin-yokohama/,,世界的ブランド、最新設備、観光・ビジネスに最適,4つ星ホテル373室/高級飲食店店舗あり,高島町10分,"¥30,000〜¥50,000",,,,,,●,●,●,確認済,,,,
石川町,ホテルZEN,ゲストハウス,横浜市中区松影町3-10-5第三ホテル浜松荘５階,045-342-9553 ,,http://zen.ilee.jp,,民家を改造和畳リノベーション施設,2つ星ホテル40室/簡易宿泊施設,石川町5分,"¥3,000〜¥7,000",,,●,●,,,,,確認済,,,,
桜木町,野毛ホステル(FUTARENO),ゲストハウス,横浜市中区野毛町3-122,045-308-8577,,https://gh.futareno.com,,民家を改造和畳素泊6部屋,1つ星ホテル6室/朝食つき,桜木町10分,"¥4,000〜¥7,000",,,,●,●,,,,確認済,,,,
関内,レンブラント横浜関内,ビジネスホテル,横浜市中区不老町1－2,045₋681₋4800,,https://rembrandt-style.com/yokohama-kannai/,,横浜公園向かい、交通アクセス良い、横浜スタジアム前,3つ星ホテル164室/レストラン店舗あり,関内8分,"¥8,000〜",,,,●,,,,,確認済,,,,
関内,アパホテル〈横浜関内〉,ビジネスホテル,横浜市中区住吉町3-37-2,045-650-6111,,https://www.apahotel.com/hotel/syutoken/kanagawa/yokohamakannai/?utm_source=google&utm_medium=maps,,関内駅すぐ、外国人利用あり,3つ星ホテル451室/大浴場、朝食会場有,関内5分,"¥8,000〜",,,,●,,,,,確認済,,,,
